date,user_submitted_review,title,total_purchased,customer_type
2019-11-25,,R For Dummies,,Business
2019-11-12,A lot of material was not needed,Fundamentals of R For Beginners,4,Business
2019-11-26,A lot of material was not needed,Fundamentals of R For Beginners,1,Business
2019-09-16,,Fundamentals of R For Beginners,5,Individual
2019-12-09,I learned a lot,R For Dummies,5,Individual
2019-09-01,,R For Dummies,8,Business
2019-09-26,Would not recommend,Top 10 Mistakes R Beginners Make,5,Individual
2019-09-09,Would not recommend,Fundamentals of R For Beginners,3,Business
2019-11-19,,Secrets Of R For Advanced Students,,Business
2019-07-14,Awesome!,R For Dummies,,Individual
2019-07-17,NA,Fundamentals of R For Beginners,,Business
2019-12-18,it was okay,Secrets Of R For Advanced Students,2,Individual
2019-03-15,Would not recommend,Fundamentals of R For Beginners,4,Business
2019-08-16,Never read a better book,Secrets Of R For Advanced Students,,Business
2019-01-09,Never read a better book,R For Dummies,4,Business
2019-04-30,Would not recommend,R vs Python: An Essay,7,Business
2019-02-27,Hated it,R For Dummies,5,Business
2019-12-20,,R vs Python: An Essay,5,Business
2019-03-30,Awesome!,Secrets Of R For Advanced Students,,Business
2019-07-29,Never read a better book,R For Dummies,2,Individual
2019-10-25,OK,R For Dummies,,Business
2019-12-29,The author's other books were better,Fundamentals of R For Beginners,5,Business
2019-07-15,NA,R For Dummies,6,Business
2019-06-04,I learned a lot,Fundamentals of R For Beginners,,Business
2019-12-01,I learned a lot,Secrets Of R For Advanced Students,0,Individual
2019-07-10,NA,R For Dummies,,Business
2019-11-24,,R For Dummies,5,Business
2019-05-12,Awesome!,R For Dummies,5,Business
2019-07-26,Never read a better book,R For Dummies,5,Individual
2019-06-17,,R vs Python: An Essay,5,Business
2019-09-29,I learned a lot,Secrets Of R For Advanced Students,3,Individual
2019-09-12,A lot of material was not needed,Fundamentals of R For Beginners,,Business
2019-06-14,Hated it,Fundamentals of R For Beginners,6,Business
2019-08-15,,Fundamentals of R For Beginners,,Individual
2019-01-20,Never read a better book,R For Dummies,,Business
2019-04-21,Would not recommend,R For Dummies,5,Business
2019-07-25,Never read a better book,R For Dummies,5,Business
2019-12-23,The author's other books were better,Fundamentals of R For Beginners,4,Business
2019-08-20,I learned a lot,Fundamentals of R For Beginners,6,Business
2019-08-11,Awesome!,R For Dummies,7,Business
2019-05-18,Would not recommend,R For Dummies,,Business
2019-09-05,OK,Secrets Of R For Advanced Students,,Business
2019-07-20,The author's other books were better,Secrets Of R For Advanced Students,5,Business
2019-08-20,Awesome!,R For Dummies,3,Business
2019-02-27,Would not recommend,Fundamentals of R For Beginners,,Individual
2019-07-23,NA,R For Dummies,4,Business
2019-10-04,I learned a lot,R vs Python: An Essay,3,Individual
2019-11-15,I learned a lot,Fundamentals of R For Beginners,2,Individual
2019-06-26,it was okay,Fundamentals of R For Beginners,,Business
2019-12-01,Never read a better book,Fundamentals of R For Beginners,,Business
2019-01-20,Never read a better book,Fundamentals of R For Beginners,9,Business
2019-09-25,OK,R For Dummies,9,Business
2019-12-02,Never read a better book,R For Dummies,6,Business
2019-09-09,A lot of material was not needed,Fundamentals of R For Beginners,2,Business
2019-05-25,Never read a better book,R For Dummies,1,Individual
2019-01-04,Awesome!,Secrets Of R For Advanced Students,2,Business
2019-11-24,it was okay,R For Dummies,4,Individual
2019-08-29,OK,R For Dummies,5,Business
2019-04-23,A lot of material was not needed,Fundamentals of R For Beginners,,Business
2019-06-05,it was okay,R For Dummies,3,Individual
2019-05-06,NA,Fundamentals of R For Beginners,5,Business
2019-02-12,NA,Fundamentals of R For Beginners,3,Individual
2019-10-03,I learned a lot,Fundamentals of R For Beginners,,Business
2019-08-30,I learned a lot,R vs Python: An Essay,5,Business
2019-12-28,A lot of material was not needed,R For Dummies,6,Business
2019-01-17,The author's other books were better,R For Dummies,1,Business
2019-10-15,Awesome!,Secrets Of R For Advanced Students,0,Business
2019-05-12,Hated it,Top 10 Mistakes R Beginners Make,4,Business
2019-08-13,,R For Dummies,6,Business
2019-08-08,Awesome!,Fundamentals of R For Beginners,3,Individual
2019-12-13,A lot of material was not needed,R vs Python: An Essay,4,Business
2019-03-26,Would not recommend,R For Dummies,5,Individual
2019-06-23,,R vs Python: An Essay,7,Individual
2019-02-28,Would not recommend,Fundamentals of R For Beginners,3,Individual
2019-03-21,Never read a better book,R For Dummies,2,Individual
2019-04-17,Would not recommend,Fundamentals of R For Beginners,4,Business
2019-02-23,Hated it,R For Dummies,4,Individual
2019-08-19,it was okay,Top 10 Mistakes R Beginners Make,6,Business
2019-12-13,A lot of material was not needed,Secrets Of R For Advanced Students,3,Business
2019-11-17,it was okay,R vs Python: An Essay,3,Business
2019-08-28,NA,Secrets Of R For Advanced Students,6,Individual
2019-06-13,A lot of material was not needed,R For Dummies,4,Individual
2019-09-19,Hated it,Top 10 Mistakes R Beginners Make,4,Business
2019-09-16,,R For Dummies,3,Business
2019-10-10,Would not recommend,Fundamentals of R For Beginners,6,Individual
2019-08-29,OK,R vs Python: An Essay,3,Individual
2019-05-09,The author's other books were better,R vs Python: An Essay,3,Business
2019-11-02,,R For Dummies,8,Individual
2019-02-25,Never read a better book,Fundamentals of R For Beginners,1,Business
2019-12-10,Never read a better book,R For Dummies,1,Business
2019-09-21,NA,R For Dummies,4,Business
2019-10-22,Hated it,R For Dummies,4,Business
2019-12-23,OK,R For Dummies,6,Individual
2019-03-12,it was okay,R vs Python: An Essay,2,Business
2019-07-11,Hated it,R vs Python: An Essay,1,Individual
2019-07-02,it was okay,Fundamentals of R For Beginners,4,Business
2019-01-08,Would not recommend,Fundamentals of R For Beginners,4,Business
2019-07-05,NA,R vs Python: An Essay,2,Business
2019-01-22,Would not recommend,R For Dummies,2,Individual
2019-02-09,Awesome!,R For Dummies,1,Business
2019-08-12,Awesome!,Fundamentals of R For Beginners,5,Individual
2019-12-25,I learned a lot,Secrets Of R For Advanced Students,8,Individual
2019-10-23,NA,Fundamentals of R For Beginners,7,Business
2019-02-19,it was okay,R vs Python: An Essay,1,Individual
2019-06-09,Never read a better book,R For Dummies,2,Business
2019-03-13,I learned a lot,R For Dummies,,Business
2019-10-14,Would not recommend,Fundamentals of R For Beginners,9,Individual
2019-03-23,The author's other books were better,R vs Python: An Essay,9,Individual
2019-10-08,Never read a better book,R For Dummies,1,Business
2019-11-06,NA,R For Dummies,6,Business
2019-06-14,Awesome!,R vs Python: An Essay,6,Individual
2019-07-18,A lot of material was not needed,R For Dummies,4,Individual
2019-04-03,A lot of material was not needed,Fundamentals of R For Beginners,,Business
2019-08-21,Awesome!,R vs Python: An Essay,5,Business
2019-07-03,NA,Secrets Of R For Advanced Students,6,Business
2019-04-27,Awesome!,R vs Python: An Essay,,Business
2019-01-13,NA,R For Dummies,,Business
2019-06-16,Awesome!,R For Dummies,6,Business
2019-09-09,Never read a better book,Secrets Of R For Advanced Students,5,Business
2019-01-18,NA,R For Dummies,4,Business
2019-02-08,NA,Fundamentals of R For Beginners,3,Individual
2019-06-29,NA,Secrets Of R For Advanced Students,5,Individual
2019-11-13,Would not recommend,Fundamentals of R For Beginners,4,Business
2019-06-25,Never read a better book,Secrets Of R For Advanced Students,4,Individual
2019-02-22,it was okay,R vs Python: An Essay,4,Individual
2019-02-24,NA,R vs Python: An Essay,1,Business
2019-05-01,A lot of material was not needed,R For Dummies,4,Business
2019-08-09,,Fundamentals of R For Beginners,,Individual
2019-11-22,it was okay,Fundamentals of R For Beginners,2,Business
2019-10-09,A lot of material was not needed,R For Dummies,3,Business
2019-07-31,I learned a lot,R vs Python: An Essay,1,Business
2019-02-24,I learned a lot,R vs Python: An Essay,5,Individual
2019-03-15,it was okay,R For Dummies,4,Individual
2019-11-04,Never read a better book,R For Dummies,2,Business
2019-02-15,it was okay,R For Dummies,7,Business
2019-10-12,it was okay,Top 10 Mistakes R Beginners Make,2,Business
2019-09-20,The author's other books were better,Secrets Of R For Advanced Students,,Business
2019-09-28,Hated it,R For Dummies,2,Business
2019-06-21,The author's other books were better,R For Dummies,5,Business
2019-05-03,The author's other books were better,R vs Python: An Essay,4,Individual
2019-07-08,Never read a better book,Fundamentals of R For Beginners,,Individual
2019-02-11,Would not recommend,Secrets Of R For Advanced Students,6,Business
2019-10-23,Would not recommend,Fundamentals of R For Beginners,,Business
2019-05-12,,Top 10 Mistakes R Beginners Make,2,Individual
2019-10-27,Hated it,R For Dummies,1,Business
2019-12-17,it was okay,R For Dummies,7,Business
2019-06-12,I learned a lot,Fundamentals of R For Beginners,0,Business
2019-05-29,The author's other books were better,R For Dummies,,Business
2019-09-01,The author's other books were better,Secrets Of R For Advanced Students,5,Business
2019-04-14,Awesome!,Secrets Of R For Advanced Students,9,Individual
2019-03-19,OK,R For Dummies,2,Business
2019-11-30,I learned a lot,Top 10 Mistakes R Beginners Make,3,Business
2019-01-12,Hated it,R For Dummies,2,Business
2019-04-28,OK,Secrets Of R For Advanced Students,4,Business
2019-04-20,Awesome!,Secrets Of R For Advanced Students,2,Business
2019-11-21,OK,R For Dummies,,Business
2019-09-06,OK,R vs Python: An Essay,3,Business
2019-03-29,it was okay,R For Dummies,5,Business
2019-04-01,The author's other books were better,Fundamentals of R For Beginners,3,Individual
2019-06-08,I learned a lot,Fundamentals of R For Beginners,,Individual
2019-06-21,Hated it,Fundamentals of R For Beginners,4,Individual
2019-06-27,Hated it,R For Dummies,4,Business
2019-06-15,,R For Dummies,,Business
2019-11-06,,R For Dummies,5,Business
2019-03-24,OK,Fundamentals of R For Beginners,3,Business
2019-10-07,A lot of material was not needed,Fundamentals of R For Beginners,5,Business
2019-09-21,Never read a better book,R For Dummies,4,Business
2019-05-02,Hated it,R For Dummies,2,Business
2019-03-07,NA,Secrets Of R For Advanced Students,5,Business
2019-01-09,it was okay,Secrets Of R For Advanced Students,4,Business
2019-07-14,NA,R For Dummies,3,Business
2019-06-01,A lot of material was not needed,R For Dummies,5,Business
2019-03-31,it was okay,R vs Python: An Essay,4,Business
2019-01-02,,R For Dummies,2,Individual
2019-07-10,OK,Fundamentals of R For Beginners,7,Business
2019-01-13,Would not recommend,Fundamentals of R For Beginners,7,Business
2019-09-20,Awesome!,R vs Python: An Essay,,Individual
2019-08-21,OK,Fundamentals of R For Beginners,5,Business
2019-01-16,,R vs Python: An Essay,5,Business
2019-10-12,Hated it,R For Dummies,2,Individual
2019-10-18,OK,Secrets Of R For Advanced Students,,Business
2019-11-13,I learned a lot,R For Dummies,,Business
2019-10-12,Would not recommend,Fundamentals of R For Beginners,1,Business
2019-12-03,I learned a lot,R For Dummies,2,Business
2019-04-07,I learned a lot,Fundamentals of R For Beginners,4,Business
2019-08-13,A lot of material was not needed,R For Dummies,2,Business
2019-01-31,I learned a lot,R vs Python: An Essay,3,Individual
2019-08-19,Hated it,Top 10 Mistakes R Beginners Make,6,Business
2019-08-19,I learned a lot,R vs Python: An Essay,3,Business
2019-01-05,Hated it,Secrets Of R For Advanced Students,,Individual
2019-12-01,Never read a better book,R vs Python: An Essay,4,Business
2019-04-18,it was okay,R For Dummies,9,Business
2019-01-13,OK,Fundamentals of R For Beginners,6,Business
2019-01-16,Never read a better book,Fundamentals of R For Beginners,4,Business
2019-06-17,it was okay,Fundamentals of R For Beginners,,Individual
2019-07-09,NA,R vs Python: An Essay,3,Individual
2019-09-26,Would not recommend,R For Dummies,5,Business
2019-05-06,Would not recommend,Top 10 Mistakes R Beginners Make,8,Individual
2019-10-29,Would not recommend,Fundamentals of R For Beginners,2,Business
2019-01-02,Awesome!,R For Dummies,1,Business
2019-02-18,A lot of material was not needed,R For Dummies,4,Individual
2019-11-13,I learned a lot,R For Dummies,6,Individual
2019-04-02,A lot of material was not needed,Fundamentals of R For Beginners,3,Business
2019-10-17,Hated it,Fundamentals of R For Beginners,5,Business
2019-11-11,I learned a lot,Fundamentals of R For Beginners,,Individual
2019-07-21,Would not recommend,Fundamentals of R For Beginners,,Business
2019-11-27,The author's other books were better,Fundamentals of R For Beginners,1,Individual
2019-08-25,I learned a lot,R For Dummies,3,Business
2019-08-25,A lot of material was not needed,R For Dummies,2,Business
2019-09-15,NA,Fundamentals of R For Beginners,8,Business
2019-09-24,The author's other books were better,R For Dummies,4,Individual
2019-07-31,I learned a lot,Fundamentals of R For Beginners,2,Individual
2019-08-24,,R For Dummies,,Business
2019-09-10,,Fundamentals of R For Beginners,4,Business
2019-12-05,Never read a better book,R For Dummies,6,Business
2019-12-08,it was okay,Fundamentals of R For Beginners,2,Business
2019-11-04,A lot of material was not needed,R For Dummies,0,Individual
2019-03-25,The author's other books were better,Secrets Of R For Advanced Students,3,Business
2019-06-09,,Fundamentals of R For Beginners,6,Business
2019-01-25,A lot of material was not needed,R vs Python: An Essay,5,Individual
2019-09-24,NA,Fundamentals of R For Beginners,6,Business
2019-06-14,it was okay,Top 10 Mistakes R Beginners Make,5,Business
2019-03-31,Would not recommend,Fundamentals of R For Beginners,1,Business
2019-10-31,NA,R For Dummies,1,Business
2019-03-28,I learned a lot,R For Dummies,2,Business
2019-04-18,,Secrets Of R For Advanced Students,7,Business
2019-11-23,Never read a better book,Fundamentals of R For Beginners,4,Business
2019-08-04,,R vs Python: An Essay,,Individual
2019-07-26,Never read a better book,Secrets Of R For Advanced Students,5,Business
2019-04-13,A lot of material was not needed,Fundamentals of R For Beginners,4,Individual
2019-04-09,Hated it,Fundamentals of R For Beginners,1,Business
2019-09-06,Would not recommend,Fundamentals of R For Beginners,4,Business
2019-09-14,OK,Fundamentals of R For Beginners,3,Individual
2019-01-29,The author's other books were better,Fundamentals of R For Beginners,6,Business
2019-03-29,Would not recommend,R For Dummies,1,Individual
2019-12-09,NA,R For Dummies,7,Business
2019-08-05,Would not recommend,R vs Python: An Essay,2,Business
2019-10-05,NA,R vs Python: An Essay,3,Business
2019-06-21,,R vs Python: An Essay,2,Business
2019-11-30,Awesome!,R For Dummies,5,Business
2019-11-09,Awesome!,Fundamentals of R For Beginners,4,Business
2019-12-16,OK,Fundamentals of R For Beginners,3,Individual
2019-12-26,I learned a lot,Fundamentals of R For Beginners,6,Business
2019-01-26,NA,R For Dummies,4,Business
2019-08-21,NA,R vs Python: An Essay,,Business
2019-06-04,Awesome!,Fundamentals of R For Beginners,2,Individual
2019-02-06,OK,Fundamentals of R For Beginners,,Business
2019-02-02,Would not recommend,Top 10 Mistakes R Beginners Make,4,Business
2019-09-12,Would not recommend,Secrets Of R For Advanced Students,5,Individual
2019-10-09,Hated it,Fundamentals of R For Beginners,2,Individual
2019-05-24,Hated it,R For Dummies,,Business
2019-02-20,The author's other books were better,Fundamentals of R For Beginners,4,Business
2019-08-09,Would not recommend,R For Dummies,8,Business
2019-04-25,Hated it,Secrets Of R For Advanced Students,5,Individual
2019-02-17,A lot of material was not needed,Fundamentals of R For Beginners,5,Business
2019-03-12,Awesome!,Fundamentals of R For Beginners,4,Business
2019-09-03,Never read a better book,Secrets Of R For Advanced Students,6,Individual
2019-04-26,NA,Fundamentals of R For Beginners,2,Business
2019-02-24,Would not recommend,R For Dummies,10,Business
2019-12-21,Never read a better book,Fundamentals of R For Beginners,2,Business
2019-08-30,Hated it,Fundamentals of R For Beginners,5,Business
2019-07-09,Awesome!,R vs Python: An Essay,1,Individual
2019-06-01,OK,Fundamentals of R For Beginners,2,Business
2019-10-08,it was okay,Fundamentals of R For Beginners,3,Individual
2019-02-26,Awesome!,R For Dummies,3,Business
2019-12-06,The author's other books were better,Fundamentals of R For Beginners,5,Individual
2019-02-15,Awesome!,Top 10 Mistakes R Beginners Make,5,Business
2019-04-12,A lot of material was not needed,R For Dummies,5,Business
2019-07-16,The author's other books were better,Secrets Of R For Advanced Students,4,Individual
2019-12-20,The author's other books were better,R For Dummies,3,Business
2019-02-07,,Secrets Of R For Advanced Students,2,Individual
2019-09-30,Never read a better book,R vs Python: An Essay,4,Individual
2019-07-13,Would not recommend,R For Dummies,6,Business
2019-08-14,NA,Top 10 Mistakes R Beginners Make,4,Business
2019-08-22,The author's other books were better,R For Dummies,,Business
2019-09-07,it was okay,R vs Python: An Essay,,Business
2019-03-17,A lot of material was not needed,Fundamentals of R For Beginners,3,Business
2019-03-21,Awesome!,R For Dummies,3,Individual
2019-06-21,it was okay,R vs Python: An Essay,8,Individual
2019-12-30,Never read a better book,Fundamentals of R For Beginners,6,Business
2019-10-01,Hated it,R For Dummies,3,Business
2019-11-18,NA,Fundamentals of R For Beginners,7,Business
2019-02-17,A lot of material was not needed,R vs Python: An Essay,2,Individual
2019-11-15,OK,Fundamentals of R For Beginners,1,Business
2019-03-18,The author's other books were better,R vs Python: An Essay,7,Business
2019-02-09,Never read a better book,R vs Python: An Essay,,Business
2019-02-12,Would not recommend,Fundamentals of R For Beginners,5,Business
2019-06-24,I learned a lot,R vs Python: An Essay,6,Individual
2019-02-22,OK,R For Dummies,1,Business
2019-09-11,I learned a lot,Fundamentals of R For Beginners,6,Business
2019-12-22,Awesome!,R vs Python: An Essay,1,Business
2019-08-24,Would not recommend,Fundamentals of R For Beginners,,Business
2019-10-20,NA,Fundamentals of R For Beginners,3,Business
2019-07-02,Would not recommend,Secrets Of R For Advanced Students,2,Individual
2019-12-13,Would not recommend,R For Dummies,2,Business
2019-12-03,Hated it,R vs Python: An Essay,5,Individual
2019-06-11,A lot of material was not needed,Secrets Of R For Advanced Students,5,Business
2019-09-07,Would not recommend,R For Dummies,6,Business
2019-08-16,Hated it,R For Dummies,3,Business
2019-11-15,Awesome!,R For Dummies,2,Business
2019-05-26,Would not recommend,R For Dummies,5,Business
2019-05-17,it was okay,Secrets Of R For Advanced Students,,Individual
2019-07-24,it was okay,R vs Python: An Essay,2,Business
2019-12-30,it was okay,R For Dummies,3,Business
2019-08-16,I learned a lot,Fundamentals of R For Beginners,3,Business
2019-12-24,I learned a lot,R For Dummies,4,Business
2019-10-25,NA,Fundamentals of R For Beginners,5,Business
2019-12-15,NA,R vs Python: An Essay,5,Business
2019-09-01,Awesome!,Secrets Of R For Advanced Students,2,Business
2019-10-25,A lot of material was not needed,Fundamentals of R For Beginners,3,Business
2019-04-27,OK,Secrets Of R For Advanced Students,3,Business
2019-08-22,OK,R For Dummies,3,Business
2019-02-06,Would not recommend,Secrets Of R For Advanced Students,5,Business
2019-04-25,I learned a lot,R For Dummies,3,Business
2019-07-06,Awesome!,Fundamentals of R For Beginners,3,Individual
2019-03-30,NA,Fundamentals of R For Beginners,5,Individual
2019-10-20,,R For Dummies,4,Individual
2019-06-02,Hated it,Fundamentals of R For Beginners,6,Business
2019-02-12,Never read a better book,R For Dummies,2,Business
2019-09-09,The author's other books were better,R vs Python: An Essay,2,Business
2019-01-02,A lot of material was not needed,R For Dummies,6,Business
2019-05-15,,R For Dummies,3,Business
2019-04-28,,Fundamentals of R For Beginners,6,Business
2019-07-28,OK,R For Dummies,0,Individual
2019-06-05,NA,Fundamentals of R For Beginners,9,Business
2019-05-09,Hated it,Top 10 Mistakes R Beginners Make,6,Business
2019-04-26,The author's other books were better,R vs Python: An Essay,6,Business
2019-05-03,Would not recommend,Secrets Of R For Advanced Students,,Individual
2019-07-06,it was okay,Fundamentals of R For Beginners,4,Business
2019-06-27,OK,R For Dummies,7,Individual
2019-09-11,it was okay,R For Dummies,5,Business
2019-03-02,it was okay,Fundamentals of R For Beginners,1,Individual
2019-01-24,Awesome!,R For Dummies,5,Business
2019-10-03,NA,Fundamentals of R For Beginners,4,Individual
2019-11-28,it was okay,R For Dummies,6,Business
2019-09-07,Hated it,Secrets Of R For Advanced Students,8,Business
2019-06-24,Would not recommend,R For Dummies,5,Individual
2019-11-02,Would not recommend,R For Dummies,5,Business
2019-04-28,NA,R vs Python: An Essay,3,Individual
2019-12-08,Hated it,R For Dummies,4,Business
2019-12-17,NA,Fundamentals of R For Beginners,,Individual
2019-06-21,Hated it,Fundamentals of R For Beginners,2,Business
2019-07-14,NA,Fundamentals of R For Beginners,1,Business
2019-08-29,Awesome!,R For Dummies,2,Business
2019-06-28,it was okay,Fundamentals of R For Beginners,2,Business
2019-05-04,OK,Fundamentals of R For Beginners,5,Business
2019-12-27,NA,R For Dummies,2,Individual
2019-09-05,Hated it,Fundamentals of R For Beginners,3,Business
2019-01-27,Awesome!,R vs Python: An Essay,3,Business
2019-03-06,,Top 10 Mistakes R Beginners Make,3,Individual
2019-12-16,Awesome!,Fundamentals of R For Beginners,4,Business
2019-09-15,A lot of material was not needed,Fundamentals of R For Beginners,2,Business
2019-12-31,The author's other books were better,R For Dummies,,Individual
2019-04-28,A lot of material was not needed,Fundamentals of R For Beginners,5,Business
2019-10-22,NA,R For Dummies,3,Business
2019-03-13,OK,R For Dummies,7,Business
2019-05-17,Would not recommend,Fundamentals of R For Beginners,6,Individual
2019-12-11,Hated it,R For Dummies,2,Individual
2019-07-14,,Secrets Of R For Advanced Students,3,Individual
2019-01-20,OK,R For Dummies,6,Individual
2019-10-20,Never read a better book,Secrets Of R For Advanced Students,,Business
2019-01-19,The author's other books were better,Fundamentals of R For Beginners,3,Business
2019-07-21,Hated it,R For Dummies,,Business
2019-12-18,I learned a lot,Fundamentals of R For Beginners,6,Business
2019-03-05,I learned a lot,Fundamentals of R For Beginners,7,Individual
2019-03-25,NA,Fundamentals of R For Beginners,9,Individual
2019-02-14,Never read a better book,R For Dummies,,Business
2019-01-19,,Fundamentals of R For Beginners,3,Business
2019-07-04,A lot of material was not needed,Fundamentals of R For Beginners,3,Business
2019-10-17,Hated it,Fundamentals of R For Beginners,5,Business
2019-12-29,Hated it,R vs Python: An Essay,3,Individual
2019-12-22,,R vs Python: An Essay,,Business
2019-10-22,,R For Dummies,6,Business
2019-12-02,Would not recommend,Fundamentals of R For Beginners,3,Individual
2019-04-13,Hated it,Fundamentals of R For Beginners,3,Individual
2019-05-27,I learned a lot,R vs Python: An Essay,,Individual
2019-12-21,Hated it,R For Dummies,0,Individual
2019-11-30,,R For Dummies,,Business
2019-06-06,it was okay,Secrets Of R For Advanced Students,1,Business
2019-05-19,NA,R vs Python: An Essay,4,Business
2019-08-30,NA,Fundamentals of R For Beginners,5,Individual
2019-10-17,it was okay,R vs Python: An Essay,5,Individual
2019-03-17,I learned a lot,Fundamentals of R For Beginners,4,Business
2019-08-17,The author's other books were better,Secrets Of R For Advanced Students,7,Business
2019-12-10,it was okay,Fundamentals of R For Beginners,2,Individual
2019-02-15,OK,Secrets Of R For Advanced Students,5,Business
2019-04-07,NA,Fundamentals of R For Beginners,3,Business
2019-10-22,Never read a better book,R For Dummies,4,Business
2019-11-16,The author's other books were better,R vs Python: An Essay,3,Individual
2019-02-24,A lot of material was not needed,Secrets Of R For Advanced Students,5,Business
2019-06-02,Awesome!,R For Dummies,5,Business
2019-12-11,Awesome!,R For Dummies,,Individual
2019-01-08,Would not recommend,Secrets Of R For Advanced Students,,Individual
2019-06-20,OK,R For Dummies,5,Business
2019-01-30,Hated it,Fundamentals of R For Beginners,2,Business
2019-11-23,,R vs Python: An Essay,,Individual
2019-12-25,A lot of material was not needed,R vs Python: An Essay,3,Business
2019-02-02,Hated it,Fundamentals of R For Beginners,3,Individual
2019-07-26,it was okay,R Made Easy,3,Business
2019-02-18,Never read a better book,R vs Python: An Essay,8,Individual
2019-06-23,Never read a better book,R For Dummies,7,Business
2019-03-15,Would not recommend,R For Dummies,4,Individual
2019-06-20,OK,Secrets Of R For Advanced Students,2,Business
2019-05-17,OK,Fundamentals of R For Beginners,2,Business
2019-01-12,The author's other books were better,Top 10 Mistakes R Beginners Make,2,Individual
2019-10-20,I learned a lot,Fundamentals of R For Beginners,3,Business
2019-02-21,OK,Secrets Of R For Advanced Students,6,Business
2019-12-29,Hated it,Secrets Of R For Advanced Students,5,Individual
2019-03-05,OK,R For Dummies,2,Business
2019-01-16,it was okay,R For Dummies,7,Business
2019-03-22,The author's other books were better,R For Dummies,4,Business
2019-02-21,,Fundamentals of R For Beginners,6,Business
2019-09-01,NA,Fundamentals of R For Beginners,,Individual
2019-12-18,Awesome!,Fundamentals of R For Beginners,7,Business
2019-11-01,it was okay,R For Dummies,2,Business
2019-09-03,Awesome!,Fundamentals of R For Beginners,,Business
2019-07-05,NA,Secrets Of R For Advanced Students,,Business
2019-12-04,OK,R For Dummies,7,Business
2019-09-02,Never read a better book,Secrets Of R For Advanced Students,9,Business
2019-02-14,Awesome!,Fundamentals of R For Beginners,3,Business
2019-03-26,Awesome!,R For Dummies,7,Individual
2019-02-18,Never read a better book,R vs Python: An Essay,,Business
2019-05-06,Awesome!,Fundamentals of R For Beginners,,Business
2019-02-06,OK,Fundamentals of R For Beginners,2,Business
2019-10-14,A lot of material was not needed,R vs Python: An Essay,8,Business
2019-05-26,Would not recommend,R vs Python: An Essay,,Business
2019-12-29,Awesome!,Fundamentals of R For Beginners,6,Business
2019-08-19,I learned a lot,R For Dummies,3,Business
2019-12-15,Would not recommend,R For Dummies,5,Business
2019-01-02,Would not recommend,R For Dummies,4,Individual
2019-12-17,OK,R For Dummies,2,Business
2019-11-20,I learned a lot,Secrets Of R For Advanced Students,6,Individual
2019-07-08,Never read a better book,Secrets Of R For Advanced Students,4,Business
2019-05-09,The author's other books were better,R For Dummies,3,Individual
2019-06-07,it was okay,Fundamentals of R For Beginners,6,Individual
2019-06-07,Hated it,R vs Python: An Essay,5,Business
2019-06-24,it was okay,R For Dummies,5,Individual
2019-12-01,Awesome!,Fundamentals of R For Beginners,3,Business
2019-11-14,The author's other books were better,Fundamentals of R For Beginners,5,Business
2019-02-28,OK,R vs Python: An Essay,3,Individual
2019-01-18,Hated it,Secrets Of R For Advanced Students,,Business
2019-03-19,NA,Fundamentals of R For Beginners,5,Business
2019-03-01,The author's other books were better,R For Dummies,2,Individual
2019-03-31,Would not recommend,R For Dummies,3,Business
2019-04-27,The author's other books were better,R For Dummies,7,Individual
2019-11-12,The author's other books were better,R For Dummies,3,Business
2019-11-12,I learned a lot,R For Dummies,6,Individual
2019-02-20,Awesome!,Secrets Of R For Advanced Students,5,Business
2019-04-17,Hated it,Fundamentals of R For Beginners,2,Business
2019-08-04,,Fundamentals of R For Beginners,3,Business
2019-11-11,it was okay,R vs Python: An Essay,4,Business
2019-09-27,,Top 10 Mistakes R Beginners Make,3,Business
2019-08-12,The author's other books were better,R For Dummies,2,Individual
2019-04-30,OK,Fundamentals of R For Beginners,2,Business
2019-05-26,NA,Fundamentals of R For Beginners,7,Business
2019-04-13,I learned a lot,R For Dummies,5,Business
2019-08-20,it was okay,R For Dummies,7,Business
2019-06-24,Would not recommend,Fundamentals of R For Beginners,3,Business
2019-11-11,Would not recommend,Fundamentals of R For Beginners,,Individual
2019-06-15,OK,R vs Python: An Essay,4,Individual
2019-07-22,I learned a lot,Fundamentals of R For Beginners,7,Business
2019-06-23,The author's other books were better,R For Dummies,4,Business
2019-11-07,Would not recommend,Fundamentals of R For Beginners,,Business
2019-10-15,A lot of material was not needed,R For Dummies,3,Business
2019-06-04,NA,Fundamentals of R For Beginners,2,Business
2019-02-19,NA,Secrets Of R For Advanced Students,3,Individual
2019-08-18,OK,R For Dummies,1,Business
2019-05-10,,R For Dummies,7,Business
2019-01-25,,Fundamentals of R For Beginners,3,Business
2019-12-28,Hated it,R For Dummies,2,Business
2019-05-08,NA,R vs Python: An Essay,6,Business
2019-05-03,Never read a better book,Fundamentals of R For Beginners,5,Individual
2019-01-19,Would not recommend,Secrets Of R For Advanced Students,,Business
2019-05-10,Would not recommend,R For Dummies,5,Business
2019-12-02,OK,R For Dummies,0,Business
2019-05-05,The author's other books were better,R vs Python: An Essay,6,Individual
2019-08-29,Never read a better book,Fundamentals of R For Beginners,3,Business
2019-08-18,Awesome!,R For Dummies,3,Business
2019-02-17,Would not recommend,Secrets Of R For Advanced Students,5,Business
2019-01-12,I learned a lot,Fundamentals of R For Beginners,3,Business
2019-01-06,OK,Fundamentals of R For Beginners,9,Individual
